2022-05-03 05:23:54 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555434831' 
2022-05-03 05:23:54 [info]: 	 
2022-05-03 05:23:54 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:23:54 [info]: 	adding '/example1651555434831/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:23:54 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:23:56 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:23:56 [error]: 	path is not defined 
2022-05-03 05:25:20 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:25:20 [info]: 	[object Object] 
2022-05-03 05:25:20 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555520755 
2022-05-03 05:25:20 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555520755' 
2022-05-03 05:25:20 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555520755' 
2022-05-03 05:25:20 [info]: 	 
2022-05-03 05:25:20 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:25:20 [info]: 	adding '/example1651555520755/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:25:20 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:25:22 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:25:22 [info]: 	writting data to meta file: /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555520755/meta.json 
2022-05-03 05:25:42 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:25:42 [info]: 	[object Object] 
2022-05-03 05:25:42 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555542373 
2022-05-03 05:25:42 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555542373' 
2022-05-03 05:25:42 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555542373' 
2022-05-03 05:25:42 [info]: 	 
2022-05-03 05:25:42 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:25:42 [info]: 	adding '/example1651555542373/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:25:42 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:25:45 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:25:45 [info]: 	writting data to meta file: /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555542373/meta.json 
2022-05-03 05:25:45 [info]: 	NFT Wallet Address: (Classic)  'rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu' 
2022-05-03 05:25:45 [info]: 	 
2022-05-03 05:25:45 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555542373 
2022-05-03 05:25:45 [info]: 	 
2022-05-03 05:25:45 [info]: 	object 
2022-05-03 05:26:14 [info]: 	(IPFS) content base string recorded as: ipfs://bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee/ 
2022-05-03 05:26:14 [info]: 	 
